,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
0,2004-01-30 19:01:02,1075507262.0,a,0.407,36.65,0.0,1144.05,0.0,0.0,underperform
1,2004-04-13 04:07:11,1081843631.0,a,0.375,31.87,-13.0422919509,1129.44,-1.27704208732,-11.7652498636,underperform
2,2004-12-13 21:37:34,1102991854.0,a,0.323,23.84,-34.9522510232,1188.0,3.84161531402,-38.7938663372,underperform
3,2005-01-22 05:17:19,1106389039.0,a,0.322,21.8,-40.5184174625,1184.63,3.54704776889,-44.0654652314,underperform
4,2006-01-09 02:35:16,1136792116.0,a,0.0,34.65,-5.45702592087,1285.45,12.3595996678,-17.8166255887,underperform
5,2006-06-21 11:01:16,1150902076.0,a,0.368,32.18,-12.1964529332,1252.2,9.45325816179,-21.6497110949,underperform
6,2006-08-19 10:42:01,1155998521.0,a,0.396,31.8,-13.2332878581,1295.43,13.2319391635,-26.4652270216,underperform
7,2007-02-20 17:46:56,1172011616.0,a,0.411,32.48,-11.377899045,1459.68,27.5888291596,-38.9667282046,underperform
8,2007-04-12 05:07:51,1176368871.0,a,0.411,34.62,-5.53888130969,1444.61,26.2715790394,-31.8104603491,underperform
9,2008-01-23 19:28:50,1201134530.0,a,0.645,32.16,-12.2510231924,1338.6,17.0053756392,-29.2563988315,underperform
10,2008-02-14 04:44:34,1202982274.0,a,0.645,32.68,-10.8321964529,1339.13,17.0517022857,-27.8838987387,underperform
11,2008-04-26 04:49:23,1209199763.0,a,0.67,31.53,-13.9699863574,1379.93,20.6179799834,-34.5879663408,underperform
12,2008-12-06 19:21:33,1228609293.0,a,0.83,17.26,-52.9058663029,870.74,-23.8896901359,-29.0161761669,underperform
13,2011-08-02 06:45:37,1312281937.0,a,54.36,40.79,11.2960436562,1254.05,9.61496438093,1.68107927528,outperform
14,2011-11-08 05:04:16,1320746656.0,a,51.62,37.74,2.97407912688,1275.92,11.5265941174,-8.55251499051,underperform
15,2013-05-14 00:28:58,1368505738.0,a,44.12,37.74,2.97407912688,1650.34,44.2541846947,-41.2801055678,underperform
16,2013-09-06 06:09:52,1378462192.0,a,56.39,37.74,2.97407912688,1639.77,43.3302740265,-40.3561948996,underperform
17,2004-04-13 04:20:10,1081844410.0,aa,0.595,34.26,0.0,1129.44,0.0,0.0,underperform
18,2004-09-09 16:15:45,1094760945.0,aa,0.561,32.89,-3.99883245768,1118.38,-0.979246352175,-3.0195861055,underperform
19,2004-11-24 10:37:20,1101310640.0,aa,0.53,33.58,-1.9848219498,1181.76,4.6323841904,-6.61720614019,underperform
20,2004-12-05 00:36:42,1102225002.0,aa,0.53,32.86,-4.08639813193,1190.33,5.39116730415,-9.47756543608,underperform
21,2005-01-13 07:18:32,1105618712.0,aa,0.457,29.43,-14.0980735552,1190.25,5.3840841479,-19.4821577031,underperform
22,2005-02-07 03:48:37,1107766117.0,aa,0.457,29.37,-14.2732049037,1203.03,6.51561835954,-20.7888232632,underperform
23,2005-05-22 08:48:23,1116766103.0,aa,0.543,27.45,-19.877408056,1191.08,5.45757189404,-25.3349799501,underperform
24,2006-06-20 04:32:21,1150792341.0,aa,0.526,29.1,-15.061295972,1240.12,9.799546678,-24.86084265,underperform
25,2007-01-25 19:09:37,1169770177.0,aa,0.494,31.46,-8.17279626386,1422.95,25.987214903,-34.1600111668,underperform
26,2007-02-23 09:03:42,1172239422.0,aa,0.494,34.75,1.43023934618,1459.68,29.2392690183,-27.8090296721,underperform
27,2007-05-16 21:12:47,1179364367.0,aa,0.494,39.04,13.9521307647,1514.14,34.0611276385,-20.1089968737,underperform
28,2007-06-22 06:39:12,1182508752.0,aa,0.503,40.34,17.7466433158,1533.7,35.7929593427,-18.0463160269,underperform
29,2007-10-11 20:57:59,1192150679.0,aa,0.47,38.08,11.1500291886,1552.58,37.4645842187,-26.3145550302,underperform
30,2008-01-23 16:05:53,1201122353.0,aa,0.499,28.04,-18.155283129,1338.6,18.5189120272,-36.6741951562,underperform
31,2008-10-28 00:52:22,1225169542.0,aa,0.672,9.04,-73.613543491,940.51,-16.7277588894,-56.8857846016,underperform
32,2008-12-05 01:03:15,1228456995.0,aa,0.672,8.06,-76.4740221833,848.81,-24.846826746,-51.6271954373,underperform
33,2008-12-06 09:33:46,1228574026.0,aa,0.672,8.15,-76.2113251605,870.74,-22.9051565378,-53.3061686228,underperform
34,2008-12-18 10:54:07,1229615647.0,aa,0.672,10.35,-69.7898423818,868.57,-23.0972871512,-46.6925552306,underperform
35,2011-09-03 09:21:23,1315056083.0,aa,48.26,12.04,-64.8569760654,1218.89,7.91985408698,-72.7768301524,underperform
36,2011-11-02 22:04:47,1320285887.0,aa,50.93,10.7,-68.7682428488,1237.9,9.60298909194,-78.3712319407,underperform
37,2011-11-05 21:29:24,1320542964.0,aa,50.93,10.93,-68.0969060128,1237.9,9.60298909194,-77.6998951048,underperform
38,2012-01-02 19:42:06,1325551326.0,aa,50.93,8.65,-74.7518972563,1257.6,11.3472163196,-86.0991135759,underperform
39,2012-03-09 07:34:06,1331296446.0,aa,54.5,8.65,-74.7518972563,1343.36,18.9403598243,-93.6922570806,underperform
40,2012-03-19 02:24:48,1332138288.0,aa,54.5,8.65,-74.7518972563,1404.17,24.3244439722,-99.0763412285,underperform
41,2012-05-19 11:51:52,1337442712.0,aa,55.28,8.65,-74.7518972563,1324.8,17.2970675733,-92.0489648296,underperform
42,2012-07-29 16:51:57,1343595117.0,aa,56.42,8.65,-74.7518972563,1360.02,20.4154271143,-95.1673243706,underperform
43,2012-11-27 11:38:14,1354034294.0,aa,56.51,8.65,-74.7518972563,1398.94,23.8613826321,-98.6132798884,underperform
44,2013-01-22 17:52:37,1358895157.0,aa,53.49,8.65,-74.7518972563,1492.56,32.1504462388,-106.902343495,underperform
45,2013-04-23 20:02:57,1366761777.0,aa,53.21,8.65,-74.7518972563,1578.78,39.7843178921,-114.536215148,underperform
46,2013-04-26 20:55:15,1367024115.0,aa,53.21,8.65,-74.7518972563,1578.78,39.7843178921,-114.536215148,underperform
47,2013-09-01 04:25:11,1378023911.0,aa,52.71,8.65,-74.7518972563,1638.17,45.0426760164,-119.794573273,underperform
48,2003-12-07 10:36:10,1070811370.0,aapl,0.072,20.85,0.0,1069.72,0.0,0.0,underperform
49,2004-02-03 07:33:34,1075811614.0,aapl,0.07,22.32,7.05035971223,1136.03,6.19881838238,0.85154132985,outperform
50,2004-06-03 01:20:38,1086240038.0,aapl,0.0,28.92,38.7050359712,1116.64,4.38619451819,34.318841453,outperform
51,2004-08-10 02:02:44,1092117764.0,aapl,0.0,30.3,45.3237410072,1079.04,0.871256029615,44.4524849776,outperform
52,2004-10-12 05:40:57,1097574057.0,aapl,0.0,38.59,85.0839328537,1121.84,4.87230303257,80.2116298211,outperform
53,2004-12-04 14:16:51,1102187811.0,aapl,0.0,62.68,200.623501199,1191.37,11.3721347642,189.251366435,outperform
