,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Company Type,Status
271,N/A,N/A,itw,N/A,N/A,N/A,N/A,N/A,N/A,26.68,4.04,11.89,15.50,23.15,12.98,44.53,40.12,56480000000.0,62290000000.0,22.87,2.34,4.46,16.84,4.46,5700000000.0,16.84,N/A,6.18,11.80,4.90,2500000000.0,7.25,8050000000.000001,2.33,13.86,2220000000.0,1.19,0.18,76.57,N/A,5.24,2.38,N/A,Industrials,status
272,N/A,N/A,ivz,N/A,N/A,N/A,N/A,N/A,N/A,16.14,2.96,1.85,0.00,26.47,4980000000.0,4980000000.0,12.55,14740000000.0,16.14,12.53,0.97,0.00,0.00,0.00,4730000000.0,0.00,N/A,2.24,2410000000.0,4730000000.0,2410000000.0,6400000000.0,6400000000.0,19.59,19.59,559500000.0,1.93,1.83,88.31,N/A,2.2,1.65,N/A,Financials,status
273,N/A,N/A,jbl,N/A,N/A,N/A,N/A,N/A,N/A,41.42,0.26,2.17,0.68,3.00,3.34,5.27,104.80,5050000000.0,5980000000.0,9.86,0.93,0.31,4.49,0.31,1550000000.0,4.49,N/A,0.69,20.00,13.40,1190000000.0,6.66,2080000000.0,0.96,13.17,1260000000.0,0.58,2.60,97.79,N/A,3.55,5.20,N/A,Financials,status
274,N/A,N/A,jci,N/A,N/A,N/A,N/A,N/A,N/A,11.99,0.77,1.77,0.96,7.04,4.81,4.35,50.99,34630000000.0,49330000000.0,11.99,1.30,1.09,11.29,1.09,7310000000.0,11.29,N/A,0.49,44.90,49.10,0.49,0.49,14270000000.0,1.21,21.16,1440000000.0,1.27,0.57,93.94,N/A,2.85,1.64,N/A,Industrials,status
275,N/A,N/A,jcp,N/A,N/A,N/A,N/A,N/A,N/A,21.00,0.08,0.90,0.94,2.40,2.14,9.95,40.36,1050000000.0,5040000000.0,21.00,1.48,0.40,5.65,0.40,4480000000.0,5.65,N/A,0.38,1.01,1.50,1.01,1.01,4310000000.0,1.45,3.72,410380000.0,0.06,1.90,74.13,N/A,6.15,42.22,N/A,Industrials,status
276,N/A,N/A,jdsu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrials,status
277,N/A,N/A,jec,N/A,N/A,N/A,N/A,N/A,N/A,34.82,0.79,1.86,2.29,5.26,4.49,5.10,83.83,7890000000.0,7330000000.0,0.79,0.79,0.73,11.38,0.73,1770000000.0,11.38,N/A,1.88,28.90,6.60,758300000.0,6.3,285020000.0,1.60,35.14,615010000.0,1.55,1.22,86.41,N/A,0.00,0.00,N/A,Industrials,status
278,N/A,N/A,jnj,N/A,N/A,N/A,N/A,N/A,N/A,24.34,5.06,5.23,21.28,27.59,74360000000.0,74360000000.0,27.55,376060000000.0,397240000000.0,17.81,2.72,5.34,15.88,5.34,50200000000.0,15.88,N/A,5.75,11.90,10.30,12860000000.0,4.79,34840000000.0,26.78,26.78,0.67,0.67,0.05,67.91,N/A,2.41,0.59,N/A,Health Care,status
279,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,N/A,16.98,2.05,2.12,12.50,19.07,6.59,13.31,13.67,10640000000.0,10250000000.0,13.20,1.52,1.97,8.50,1.97,3100000000.0,8.50,N/A,1.67,28.40,7.20,3150000000.0,8.27,2140000000.0000002,2.48,13.37,1420000000.0,1.43,2.54,92.69,N/A,2.71,5.30,N/A,Information Technology,status
280,N/A,N/A,josb,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Information Technology,status
